variable,lead,brier_fcst,brier_clim,bss,n
swi_ter,1,0.0414,0.0384,-0.078,353
swi_ter,2,0.041,0.0384,-0.068,353
swi_ter,3,0.04,0.0384,-0.042,353
swi_ter,4,0.0399,0.0384,-0.039,353
swi_ter,5,0.0424,0.0384,-0.104,353
swi_ter,6,0.0412,0.0384,-0.073,353
swi_ter,7,0.0416,0.0384,-0.083,353
swi_tordera,1,0.0451,0.0359,-0.256,291
swi_tordera,2,0.0424,0.0359,-0.181,291
swi_tordera,3,0.0427,0.0359,-0.189,291
swi_tordera,4,0.0422,0.0359,-0.175,291
swi_tordera,5,0.0414,0.0359,-0.153,291
swi_tordera,6,0.0423,0.0359,-0.178,291
swi_tordera,7,0.0426,0.0359,-0.187,291
